"Code département";"Libellé département";"Code commune";"Libellé commune";"Code BV";Inscrits;Votants;"% Votants";Abstentions;"% Abstentions";Exprimés;"% Exprimés/inscrits";"% Exprimés/votants";Blancs;"% Blancs/inscrits";"% Blancs/votants";Nuls;"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nuance candidat 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Numéro de panneau 2";"Nuance candidat 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Numéro de panneau 3";"Nuance candidat 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Numéro de panneau 4";"Nuance candidat 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4"
"29";Finistère;"29019";Brest;"0022";851;517;"60,75%";334;"39,25%";463;"54,41%";"89,56%";54;"6,35%";"10,44%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;344;"40,42%";"74,30%";élu;3;RN;DONVAL;Martine;FEMININ;119;"13,98%";"25,70%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0023";636;409;"64,31%";227;"35,69%";371;"58,33%";"90,71%";38;"5,97%";"9,29%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;252;"39,62%";"67,92%";élu;3;RN;DONVAL;Martine;FEMININ;119;"18,71%";"32,08%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0024";820;549;"66,95%";271;"33,05%";497;"60,61%";"90,53%";52;"6,34%";"9,47%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;359;"43,78%";"72,23%";élu;3;RN;DONVAL;Martine;FEMININ;138;"16,83%";"27,77%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0025";857;578;"67,44%";279;"32,56%";516;"60,21%";"89,27%";62;"7,23%";"10,73%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;368;"42,94%";"71,32%";élu;3;RN;DONVAL;Martine;FEMININ;148;"17,27%";"28,68%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0026";843;494;"58,60%";349;"41,40%";427;"50,65%";"86,44%";67;"7,95%";"13,56%";0;"0,00%";"0,00%";2;ENS;"LE GAC";Didier;MASCULIN;284;"33,69%";"66,51%";élu;3;RN;DONVAL;Martine;FEMININ;143;"16,96%";"33,49%";;;;;;;;;;;;;;;;;;;
"29";Finistère;"29019";Brest;"0027";843;602;"71,41%";241;"28,59%";588;"69,75%";"97,67%";14;"1,66%";"2,33%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;265;"31,44%";"45,07%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;224;"26,57%";"38,10%";élu;8;RN;KERVELLA;Denis;MASCULIN;99;"11,74%";"16,84%";;;;;;;;;;
"29";Finistère;"29019";Brest;"0028";895;652;"72,85%";243;"27,15%";636;"71,06%";"97,55%";16;"1,79%";"2,45%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;237;"26,48%";"37,26%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;278;"31,06%";"43,71%";élu;8;RN;KERVELLA;Denis;MASCULIN;121;"13,52%";"19,03%";;;;;;;;;;
"29";Finistère;"29019";Brest;"0029";896;649;"72,43%";247;"27,57%";641;"71,54%";"98,77%";8;"0,89%";"1,23%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;207;"23,10%";"32,29%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;338;"37,72%";"52,73%";élu;8;RN;KERVELLA;Denis;MASCULIN;96;"10,71%";"14,98%";;;;;;;;;;
"29";Finistère;"29019";Brest;"0030";907;673;"74,20%";234;"25,80%";660;"72,77%";"98,07%";13;"1,43%";"1,93%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;232;"25,58%";"35,15%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;331;"36,49%";"50,15%";élu;8;RN;KERVELLA;Denis;MASCULIN;97;"10,69%";"14,70%";;;;;;;;;;
"29";Finistère;"29019";Brest;"0031";918;689;"75,05%";229;"24,95%";677;"73,75%";"98,26%";12;"1,31%";"1,74%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;229;"24,95%";"33,83%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;312;"33,99%";"46,09%";élu;8;RN;KERVELLA;Denis;MASCULIN;136;"14,81%";"20,09%";;;;;;;;;;
"29";Finistère;"29019";Brest;"0032";969;757;"78,12%";212;"21,88%";748;"77,19%";"98,81%";9;"0,93%";"1,19%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;284;"29,31%";"37,97%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;320;"33,02%";"42,78%";élu;8;RN;KERVELLA;Denis;MASCULIN;144;"14,86%";"19,25%";;;;;;;;;;
"29";Finistère;"29019";Brest;"0033";852;647;"75,94%";205;"24,06%";640;"75,12%";"98,92%";7;"0,82%";"1,08%";0;"0,00%";"0,00%";3;DVC;LARSONNEUR;"Jean-Charles";MASCULIN;302;"35,45%";"47,19%";;7;UG;CADALEN;"Pierre-Yves";MASCULIN;217;"25,47%";"33,91%";élu;8;RN;KERVELLA;Denis;MASCULIN;121;"14,20%";"18,91%";;;;;;;;;;
